State,Market,Year,Month,Rainfall(mm),Arrivals (Tonnes),Modal Price(Rs./Quintal),Reported Date
Maharashtra,Nagpur,2014,1,,7.4,500,2014-01-01
Maharashtra,Karad,2014,1,,3,1250,2014-01-01
Maharashtra,Jalgaon,2014,1,,0.7,550,2014-01-01
Maharashtra,Pandharpur,2014,1,,4,1301,2014-01-02
Maharashtra,Jalgaon,2014,1,,0.7,600,2014-01-02
Maharashtra,Nagpur,2014,1,,10.9,500,2014-01-02
Maharashtra,Nagpur,2014,1,,12.4,500,2014-01-03
Maharashtra,Solapur,2014,1,,6,1000,2014-01-03
Maharashtra,Nagpur,2014,1,,7.1,500,2014-01-04
Maharashtra,Solapur,2014,1,,5.1,1000,2014-01-04
Maharashtra,Pandharpur,2014,1,,5,1240,2014-01-04
Maharashtra,Anajngaon,2014,1,,15,800,2014-01-06
Maharashtra,Pandharpur,2014,1,,8,1260,2014-01-06
Maharashtra,Jalgaon,2014,1,,0.6,700,2014-01-06
Maharashtra,Nagpur,2014,1,,9.1,500,2014-01-06
Maharashtra,Jalgaon,2014,1,,0.4,800,2014-01-07
Maharashtra,Nagpur,2014,1,,12.5,500,2014-01-07
Maharashtra,Pandharpur,2014,1,,10,1225,2014-01-07
Maharashtra,Nagpur,2014,1,,5.9,500,2014-01-08
Maharashtra,Karad,2014,1,,2.1,1150,2014-01-08
Maharashtra,Solapur,2014,1,,10.7,1000,2014-01-08
Maharashtra,Nagpur,2014,1,,9.6,500,2014-01-09
Maharashtra,Pandharpur,2014,1,,5,1286,2014-01-09
Maharashtra,Solapur,2014,1,,14.5,800,2014-01-10
Maharashtra,Jalgaon,2014,1,,0.8,600,2014-01-11
Maharashtra,Pandharpur,2014,1,,5,1260,2014-01-11
Maharashtra,Solapur,2014,1,,3.6,1000,2014-01-11
Maharashtra,Karad,2014,1,,5.1,1600,2014-01-11
Maharashtra,Baramati,2014,1,,13.5,1201,2014-01-12
Maharashtra,Anajngaon,2014,1,,16.5,950,2014-01-13
Maharashtra,Jalgaon,2014,1,,0.7,550,2014-01-13
Maharashtra,Pandharpur,2014,1,,6,1340,2014-01-13
Maharashtra,Nagpur,2014,1,,10.5,500,2014-01-13
Maharashtra,Jalgaon,2014,1,,0.5,700,2014-01-15
Maharashtra,Nagpur,2014,1,,8.7,500,2014-01-15
Maharashtra,Ulhasnagar,2014,1,,"2,400.00",3200,2014-01-15
Maharashtra,Pandharpur,2014,1,,8,1425,2014-01-15
Maharashtra,Karad,2014,1,,3,1600,2014-01-15
Maharashtra,Solapur,2014,1,,3.2,700,2014-01-15
Maharashtra,Jalgaon,2014,1,,0.5,650,2014-01-16
Maharashtra,Pandharpur,2014,1,,5,1300,2014-01-16
Maharashtra,Nagpur,2014,1,,5.2,500,2014-01-16
Maharashtra,Jalgaon,2014,1,,0.8,700,2014-01-17
Maharashtra,Nagpur,2014,1,,8.2,500,2014-01-17
Maharashtra,Jalgaon,2014,1,,1,600,2014-01-18
Maharashtra,Pandharpur,2014,1,,5,1271,2014-01-18
Maharashtra,Kalyan,2014,1,,0.3,925,2014-01-18
Maharashtra,Nagpur,2014,1,,4.8,500,2014-01-18
Maharashtra,Anajngaon,2014,1,,18,900,2014-01-20
Maharashtra,Nagpur,2014,1,,8,500,2014-01-20
Maharashtra,Karad,2014,1,,2.1,1200,2014-01-20
Maharashtra,Solapur,2014,1,,0.8,900,2014-01-20
Maharashtra,Pandharpur,2014,1,,50,1251,2014-01-20
Maharashtra,Pandharpur,2014,1,,6,1251,2014-01-21
Maharashtra,Karad,2014,1,,3,1200,2014-01-21
Maharashtra,Nagpur,2014,1,,13.1,500,2014-01-21
Maharashtra,Jalgaon,2014,1,,1.2,600,2014-01-21
Maharashtra,Nagpur,2014,1,,13,500,2014-01-22
Maharashtra,Karad,2014,1,,2.1,1300,2014-01-22
Maharashtra,Jalgaon,2014,1,,0.7,600,2014-01-22
Maharashtra,Pandharpur,2014,1,,11,1226,2014-01-22
Maharashtra,Jalgaon,2014,1,,0.5,600,2014-01-23
Maharashtra,Nagpur,2014,1,,8.7,500,2014-01-23
Maharashtra,Karad,2014,1,,5.1,1200,2014-01-23
Maharashtra,Pandharpur,2014,1,,5,1201,2014-01-23
Maharashtra,Pandharpur,2014,1,,12,1030,2014-01-24
Maharashtra,Nagpur,2014,1,,11.2,500,2014-01-25
Maharashtra,Pandharpur,2014,1,,5,1100,2014-01-25
Maharashtra,Jalgaon,2014,1,,1.2,650,2014-01-25
Maharashtra,Solapur,2014,1,,1.7,900,2014-01-25
Maharashtra,Karad,2014,1,,4.2,1200,2014-01-25
Maharashtra,Anajngaon,2014,1,,21,900,2014-01-27
Maharashtra,Nagpur,2014,1,,7.9,500,2014-01-27
Maharashtra,Karad,2014,1,,3,1150,2014-01-27
Maharashtra,Pandharpur,2014,1,,4,1200,2014-01-27
Maharashtra,Jalgaon,2014,1,,0.7,600,2014-01-28
Maharashtra,Nagpur,2014,1,,13,500,2014-01-28
Maharashtra,Karad,2014,1,,2.1,1200,2014-01-28
Maharashtra,Pandharpur,2014,1,,4,1321,2014-01-28
Maharashtra,Nagpur,2014,1,,5.8,500,2014-01-29
Maharashtra,Karad,2014,1,,3,1200,2014-01-29
Maharashtra,Nagpur,2014,1,,3.7,500,2014-01-30
Maharashtra,Pandharpur,2014,1,,8,1280,2014-01-30
Maharashtra,Nagpur,2014,1,,9,500,2014-01-31
Maharashtra,Nagpur,2014,2,,5.5,500,2014-02-01
Maharashtra,Akluj,2014,2,,32.4,1200,2014-02-01
Maharashtra,Pandharpur,2014,2,,10,1300,2014-02-01
Maharashtra,Baramati,2014,2,,6,1200,2014-02-02
Maharashtra,Anajngaon,2014,2,,15,900,2014-02-03
Maharashtra,Nagpur,2014,2,,4.8,500,2014-02-03
Maharashtra,Jalgaon,2014,2,,0.7,700,2014-02-03
Maharashtra,Pandharpur,2014,2,,10,1370,2014-02-03
Maharashtra,Solapur,2014,2,,3,1000,2014-02-03
Maharashtra,Solapur,2014,2,,3.3,1000,2014-02-04
Maharashtra,Nagpur,2014,2,,8.5,500,2014-02-04
Maharashtra,Pandharpur,2014,2,,25,1460,2014-02-04
Maharashtra,Jalgaon,2014,2,,0.5,600,2014-02-04
Maharashtra,Pandharpur,2014,2,,10,1441,2014-02-05
Maharashtra,Nagpur,2014,2,,6.2,500,2014-02-05
Maharashtra,Akluj,2014,2,,40.5,1250,2014-02-05
Maharashtra,Pandharpur,2014,2,,10,1300,2014-02-06
Maharashtra,Nagpur,2014,2,,5.8,500,2014-02-06
Maharashtra,Karad,2014,2,,3,1250,2014-02-06
Maharashtra,Jalgaon,2014,2,,1,750,2014-02-06
Maharashtra,Nagpur,2014,2,,2.6,500,2014-02-07
Maharashtra,Pandharpur,2014,2,,30,1300,2014-02-07
Maharashtra,Pandharpur,2014,2,,3,1300,2014-02-08
Maharashtra,Jalgaon,2014,2,,0.7,700,2014-02-08
Maharashtra,Nagpur,2014,2,,8.2,500,2014-02-08
Maharashtra,Anajngaon,2014,2,,12,875,2014-02-10
Maharashtra,Jalgaon,2014,2,,1,600,2014-02-10
Maharashtra,Nagpur,2014,2,,3.2,500,2014-02-10
Maharashtra,Pandharpur,2014,2,,4.5,1210,2014-02-10
Maharashtra,Karad,2014,2,,2.1,1100,2014-02-10
Maharashtra,Solapur,2014,2,,3,700,2014-02-10
Maharashtra,Nagpur,2014,2,,11.4,500,2014-02-11
Maharashtra,Pandharpur,2014,2,,4.5,1460,2014-02-11
Maharashtra,Jalgaon,2014,2,,0.8,700,2014-02-11
Maharashtra,Karad,2014,2,,3,1200,2014-02-11
Maharashtra,Jalgaon,2014,2,,0.5,700,2014-02-12
Maharashtra,Nagpur,2014,2,,1.6,500,2014-02-12
Maharashtra,Solapur,2014,2,,4.3,1000,2014-02-12
Maharashtra,Pandharpur,2014,2,,10,1390,2014-02-12
Maharashtra,Pandharpur,2014,2,,15,1414,2014-02-13
Maharashtra,Nagpur,2014,2,,34.6,500,2014-02-13
Maharashtra,Nagpur,2014,2,,34.6,500,2014-02-14
Maharashtra,Pandharpur,2014,2,,30,1370,2014-02-14
Maharashtra,Solapur,2014,2,,17,1000,2014-02-15
Maharashtra,Nagpur,2014,2,,5.6,500,2014-02-15
Maharashtra,Anajngaon,2014,2,,10.5,800,2014-02-17
Maharashtra,Nagpur,2014,2,,5.6,500,2014-02-17
Maharashtra,Pandharpur,2014,2,,5,1351,2014-02-17
Maharashtra,Nagpur,2014,2,,9.3,500,2014-02-18
Maharashtra,Pandharpur,2014,2,,6,1386,2014-02-18
Maharashtra,Karad,2014,2,,3,1200,2014-02-18
Maharashtra,Solapur,2014,2,,8,800,2014-02-18
Maharashtra,Nagpur,2014,2,,6.1,500,2014-02-19
Maharashtra,Karad,2014,2,,5.1,1250,2014-02-20
Maharashtra,Solapur,2014,2,,18,1300,2014-02-20
Maharashtra,Pandharpur,2014,2,,10,1470,2014-02-20
Maharashtra,Nagpur,2014,2,,5.8,500,2014-02-21
Maharashtra,Pandharpur,2014,2,,20,1370,2014-02-21
Maharashtra,Jalgaon,2014,2,,1.3,800,2014-02-21
Maharashtra,Solapur,2014,2,,9.3,1000,2014-02-21
Maharashtra,Nagpur,2014,2,,7.7,500,2014-02-22
Maharashtra,Solapur,2014,2,,3.9,1000,2014-02-22
Maharashtra,Anajngaon,2014,2,,12,800,2014-02-24
Maharashtra,Nagpur,2014,2,,8.1,500,2014-02-24
Maharashtra,Karad,2014,2,,0.9,1450,2014-02-25
Maharashtra,Solapur,2014,2,,5.5,1250,2014-02-25
Maharashtra,Nagpur,2014,2,,11,500,2014-02-25
Maharashtra,Jalgaon,2014,2,,0.5,300,2014-02-26
Maharashtra,Solapur,2014,2,,4,1000,2014-02-26
Maharashtra,Nagpur,2014,2,,20.6,500,2014-02-26
Maharashtra,Jalgaon,2014,2,,0.7,700,2014-02-28
Maharashtra,Solapur,2014,2,,4.1,1200,2014-02-28
Maharashtra,Akluj,2014,3,,22.4,1200,2014-03-01
Maharashtra,Nagpur,2014,3,,6.5,500,2014-03-01
Maharashtra,Solapur,2014,3,,2.8,1200,2014-03-01
Maharashtra,Anajngaon,2014,3,,12,1000,2014-03-03
