State,Market,Year,Month,Rainfall(mm),Arrivals (Tonnes),Modal Price (Rs./Quintal),Reported Date
Maharashtra,Mumbai,,,,0.7,2000,07-Feb-14
Maharashtra,Chattrapati Sambhajinagar,,,,0.7,7500,06-Mar-14
Maharashtra,Mumbai,,,,34.8,5000,06-Mar-14
Maharashtra,Chattrapati Sambhajinagar,,,,0.3,5500,08-Mar-14
Maharashtra,Mumbai,,,,153.4,3750,11-Mar-14
Maharashtra,Kamthi,,,,0.2,3500,13-Mar-14
Maharashtra,Mumbai,,,,143.5,23500,15-Mar-14
Maharashtra,Kamthi,,,,0.1,4500,15-Mar-14
Maharashtra,Chattrapati Sambhajinagar,,,,2.1,4500,17-Mar-14
Maharashtra,Chattrapati Sambhajinagar,,,,1.3,3750,18-Mar-14
Maharashtra,Mumbai,,,,30.1,25500,18-Mar-14
Maharashtra,Kamthi,,,,0.2,5000,19-Mar-14
Maharashtra,Mumbai,,,,116.7,27500,19-Mar-14
Maharashtra,Mumbai,,,,241,24000,21-Mar-14
Maharashtra,Mumbai,,,,419.8,23500,22-Mar-14
Maharashtra,Chattrapati Sambhajinagar,,,,1,6000,22-Mar-14
Maharashtra,Mumbai,,,,58.3,28000,24-Mar-14
Maharashtra,Chattrapati Sambhajinagar,,,,2.4,7000,25-Mar-14
Maharashtra,Mumbai,,,,348.8,23000,25-Mar-14
Maharashtra,Mumbai,,,,340.4,20000,26-Mar-14
Maharashtra,Mumbai,,,,297.5,20000,28-Mar-14
Maharashtra,Mumbai,,,,422.5,22500,29-Mar-14
Maharashtra,Mumbai,,,,792.7,20000,01-Apr-14
Maharashtra,Mumbai,,,,238.8,15000,02-Apr-14
Maharashtra,Kamthi,,,,0.1,2800,03-Apr-14
Maharashtra,Mumbai,,,,530.7,15500,03-Apr-14
Maharashtra,Nagpur,,,,74.9,3650,03-Apr-14
Maharashtra,Mumbai,,,,564.2,17000,04-Apr-14
Maharashtra,Kamthi,,,,0.2,2600,04-Apr-14
Maharashtra,Nagpur,,,,73.2,3000,04-Apr-14
Maharashtra,Chattrapati Sambhajinagar,,,,1.1,7550,05-Apr-14
Maharashtra,Nagpur,,,,157.1,2700,05-Apr-14
Maharashtra,Karad,,,,3,2250,05-Apr-14
Maharashtra,Mumbai,,,,796,19000,05-Apr-14
Maharashtra,Karad,,,,7.5,2100,07-Apr-14
Maharashtra,Mumbai,,,,914.1,17500,09-Apr-14
Maharashtra,Nagpur,,,,190.3,3000,11-Apr-14
Maharashtra,Nagpur,,,,110,2250,12-Apr-14
Maharashtra,Nagpur,,,,110,3000,12-Apr-14
Maharashtra,Mumbai,,,,"1,015.00",14000,12-Apr-14
Maharashtra,Mumbai,,,,251.9,13500,14-Apr-14
Maharashtra,Nagpur,,,,13.1,2800,14-Apr-14
Maharashtra,Nagpur,,,,477.7,3000,15-Apr-14
Maharashtra,Karad,,,,9,900,15-Apr-14
Maharashtra,Mumbai,,,,"1,408.70",14000,15-Apr-14
Maharashtra,Amarawati,,,,8,3500,16-Apr-14
Maharashtra,Nagpur,,,,573.4,2600,16-Apr-14
Maharashtra,Mumbai,,,,"1,339.10",12000,16-Apr-14
Maharashtra,Nagpur,,,,521.6,3000,17-Apr-14
Maharashtra,Mumbai,,,,"1,216.80",10500,17-Apr-14
Maharashtra,Amarawati,,,,6,3750,19-Apr-14
Maharashtra,Mumbai,,,,"1,092.00",12000,19-Apr-14
Maharashtra,Mumbai,,,,619,10500,21-Apr-14
Maharashtra,Mumbai,,,,"1,998.00",10750,22-Apr-14
Maharashtra,Shrirampur,,,,1.1,3750,23-Apr-14
Maharashtra,Karad,,,,12,3500,23-Apr-14
Maharashtra,Karad,,,,12,7500,23-Apr-14
Maharashtra,Mumbai,,,,"1,588.00",11500,23-Apr-14
Maharashtra,Nagpur,,,,737.2,2250,24-Apr-14
Maharashtra,Mumbai,,,,279,9750,25-Apr-14
Maharashtra,Nagpur,,,,666.9,1700,25-Apr-14
Maharashtra,Nagpur,,,,300,2500,26-Apr-14
Maharashtra,Nagpur,,,,300,1250,26-Apr-14
Maharashtra,Jalgaon,,,,12.5,3500,26-Apr-14
Maharashtra,Barshi,,,,1.5,500,26-Apr-14
Maharashtra,Karad,,,,13.2,3500,26-Apr-14
Maharashtra,Mumbai,,,,813,7500,26-Apr-14
Maharashtra,Karad,,,,13.2,8500,26-Apr-14
Maharashtra,Shrirampur,,,,1.1,3750,27-Apr-14
Maharashtra,Jalgaon,,,,6,3400,28-Apr-14
Maharashtra,Mumbai,,,,"2,626.00",11500,28-Apr-14
Maharashtra,Nagpur,,,,300,2200,28-Apr-14
Maharashtra,Nagpur,,,,300,1100,28-Apr-14
Maharashtra,Jalgaon,,,,15,3500,29-Apr-14
Maharashtra,Nagpur,,,,300,2400,29-Apr-14
Maharashtra,Nagpur,,,,300,1200,29-Apr-14
Maharashtra,Mumbai,,,,"10,729.00",11500,29-Apr-14
Maharashtra,Kamthi,,,,0.6,1600,29-Apr-14
Maharashtra,Karad,,,,4.2,3500,29-Apr-14
Maharashtra,Karad,,,,4.2,9000,29-Apr-14
Maharashtra,Barshi,,,,0.3,500,30-Apr-14
Maharashtra,Nagpur,,,,463.9,2850,30-Apr-14
Maharashtra,Nagpur,,,,463.9,1150,30-Apr-14
Maharashtra,Mumbai,,,,"1,912.90",7200,30-Apr-14
Maharashtra,Shrirampur,,,,1.1,4250,01-May-14
Maharashtra,Mumbai,,,,"1,825.80",9500,01-May-14
Maharashtra,Shrirampur,,,,1.2,4750,02-May-14
Maharashtra,Mumbai,,,,"1,468.00",10000,02-May-14
Maharashtra,Nagpur,,,,522.8,2150,02-May-14
Maharashtra,Nagpur,,,,522.8,1400,02-May-14
Maharashtra,Mumbai,,,,"1,518.90",9500,03-May-14
Maharashtra,Nagpur,,,,300,1200,03-May-14
Maharashtra,Jalgaon,,,,5,3200,03-May-14
Maharashtra,Nagpur,,,,300,2500,03-May-14
Maharashtra,Shrirampur,,,,1.2,3750,04-May-14
Maharashtra,Shrirampur,,,,0.9,3750,05-May-14
Maharashtra,Nagpur,,,,200,1150,05-May-14
Maharashtra,Mumbai,,,,503.9,8250,05-May-14
Maharashtra,Jalgaon,,,,4,3200,05-May-14
Maharashtra,Nagpur,,,,200,2250,05-May-14
Maharashtra,Jalgaon,,,,3.5,4000,06-May-14
Maharashtra,Mumbai,,,,"1,881.70",10250,06-May-14
Maharashtra,Nagpur,,,,"1,064.30",1000,06-May-14
Maharashtra,Nagpur,,,,"1,064.30",2350,06-May-14
Maharashtra,Shrirampur,,,,1,4750,07-May-14
Maharashtra,Jalgaon,,,,5,3000,07-May-14
Maharashtra,Nagpur,,,,866.6,2450,07-May-14
Maharashtra,Mumbai,,,,"1,603.90",9000,07-May-14
Maharashtra,Nagpur,,,,866.6,1050,07-May-14
Maharashtra,Shrirampur,,,,0.5,3000,08-May-14
Maharashtra,Jalgaon,,,,4,2800,08-May-14
Maharashtra,Mumbai,,,,"1,645.30",9500,08-May-14
Maharashtra,Mumbai,,,,"1,443.30",10500,09-May-14
Maharashtra,Nagpur,,,,842.8,2100,09-May-14
Maharashtra,Nagpur,,,,842.8,1000,09-May-14
Maharashtra,Nagpur,,,,300,1000,10-May-14
Maharashtra,Nagpur,,,,300,2450,10-May-14
Maharashtra,Mumbai,,,,"1,392.90",11000,10-May-14
Maharashtra,Chattrapati Sambhajinagar,,,,37.1,3400,12-May-14
Maharashtra,Mumbai,,,,472.4,11500,12-May-14
Maharashtra,Jalgaon,,,,3,3000,13-May-14
Maharashtra,Karad,,,,24,800,13-May-14
Maharashtra,Karad,,,,24,275,13-May-14
Maharashtra,Mumbai,,,,"1,844.40",9500,13-May-14
Maharashtra,Karad,,,,24,800,14-May-14
Maharashtra,Mumbai,,,,"1,468.50",9000,14-May-14
Maharashtra,Karad,,,,24,275,14-May-14
Maharashtra,Jalgaon,,,,4,3200,15-May-14
Maharashtra,Mumbai,,,,"1,726.00",9000,15-May-14
