State,Market,Year,Month,Rainfall(mm),Arrivals (Tonnes),Modal Price (Rs./Quintal)
Maharashtra,Mumbai,2014,2,27.4,0.7,2000
Maharashtra,Chattrapati Sambhajinagar,2014,3,36.1,0.7,7500
Maharashtra,Mumbai,2014,3,36.1,34.8,5000
Maharashtra,Chattrapati Sambhajinagar,2014,3,36.1,0.3,5500
Maharashtra,Mumbai,2014,3,36.1,153.4,3750
Maharashtra,Kamthi,2014,3,36.1,0.2,3500
Maharashtra,Mumbai,2014,3,36.1,143.5,23500
Maharashtra,Kamthi,2014,3,36.1,0.1,4500
Maharashtra,Chattrapati Sambhajinagar,2014,3,36.1,2.1,4500
Maharashtra,Chattrapati Sambhajinagar,2014,3,36.1,1.3,3750
Maharashtra,Mumbai,2014,3,36.1,30.1,25500
Maharashtra,Kamthi,2014,3,36.1,0.2,5000
Maharashtra,Mumbai,2014,3,36.1,116.7,27500
Maharashtra,Mumbai,2014,3,36.1,241,24000
Maharashtra,Mumbai,2014,3,36.1,419.8,23500
Maharashtra,Chattrapati Sambhajinagar,2014,3,36.1,1,6000
Maharashtra,Mumbai,2014,3,36.1,58.3,28000
Maharashtra,Chattrapati Sambhajinagar,2014,3,36.1,2.4,7000
Maharashtra,Mumbai,2014,3,36.1,348.8,23000
Maharashtra,Mumbai,2014,3,36.1,340.4,20000
Maharashtra,Mumbai,2014,3,36.1,297.5,20000
Maharashtra,Mumbai,2014,3,36.1,422.5,22500
Maharashtra,Mumbai,2014,4,22.1,792.7,20000
Maharashtra,Mumbai,2014,4,22.1,238.8,15000
Maharashtra,Kamthi,2014,4,22.1,0.1,2800
Maharashtra,Mumbai,2014,4,22.1,530.7,15500
Maharashtra,Nagpur,2014,4,22.1,74.9,3650
Maharashtra,Mumbai,2014,4,22.1,564.2,17000
Maharashtra,Kamthi,2014,4,22.1,0.2,2600
Maharashtra,Nagpur,2014,4,22.1,73.2,3000
Maharashtra,Chattrapati Sambhajinagar,2014,4,22.1,1.1,7550
Maharashtra,Nagpur,2014,4,22.1,157.1,2700
Maharashtra,Karad,2014,4,22.1,3,2250
Maharashtra,Mumbai,2014,4,22.1,796,19000
Maharashtra,Karad,2014,4,22.1,7.5,2100
Maharashtra,Mumbai,2014,4,22.1,914.1,17500
Maharashtra,Nagpur,2014,4,22.1,190.3,3000
Maharashtra,Nagpur,2014,4,22.1,110,2250
Maharashtra,Nagpur,2014,4,22.1,110,3000
Maharashtra,Mumbai,2014,4,22.1,"1,015.00",14000
Maharashtra,Mumbai,2014,4,22.1,251.9,13500
Maharashtra,Nagpur,2014,4,22.1,13.1,2800
Maharashtra,Nagpur,2014,4,22.1,477.7,3000
Maharashtra,Karad,2014,4,22.1,9,900
Maharashtra,Mumbai,2014,4,22.1,"1,408.70",14000
Maharashtra,Amarawati,2014,4,22.1,8,3500
Maharashtra,Nagpur,2014,4,22.1,573.4,2600
Maharashtra,Mumbai,2014,4,22.1,"1,339.10",12000
Maharashtra,Nagpur,2014,4,22.1,521.6,3000
Maharashtra,Mumbai,2014,4,22.1,"1,216.80",10500
Maharashtra,Amarawati,2014,4,22.1,6,3750
Maharashtra,Mumbai,2014,4,22.1,"1,092.00",12000
Maharashtra,Mumbai,2014,4,22.1,619,10500
Maharashtra,Mumbai,2014,4,22.1,"1,998.00",10750
Maharashtra,Shrirampur,2014,4,22.1,1.1,3750
Maharashtra,Karad,2014,4,22.1,12,3500
Maharashtra,Karad,2014,4,22.1,12,7500
Maharashtra,Mumbai,2014,4,22.1,"1,588.00",11500
Maharashtra,Nagpur,2014,4,22.1,737.2,2250
Maharashtra,Mumbai,2014,4,22.1,279,9750
Maharashtra,Nagpur,2014,4,22.1,666.9,1700
Maharashtra,Nagpur,2014,4,22.1,300,2500
Maharashtra,Nagpur,2014,4,22.1,300,1250
Maharashtra,Jalgaon,2014,4,22.1,12.5,3500
Maharashtra,Barshi,2014,4,22.1,1.5,500
Maharashtra,Karad,2014,4,22.1,13.2,3500
Maharashtra,Mumbai,2014,4,22.1,813,7500
Maharashtra,Karad,2014,4,22.1,13.2,8500
Maharashtra,Shrirampur,2014,4,22.1,1.1,3750
Maharashtra,Jalgaon,2014,4,22.1,6,3400
Maharashtra,Mumbai,2014,4,22.1,"2,626.00",11500
Maharashtra,Nagpur,2014,4,22.1,300,2200
Maharashtra,Nagpur,2014,4,22.1,300,1100
Maharashtra,Jalgaon,2014,4,22.1,15,3500
Maharashtra,Nagpur,2014,4,22.1,300,2400
Maharashtra,Nagpur,2014,4,22.1,300,1200
Maharashtra,Mumbai,2014,4,22.1,"10,729.00",11500
Maharashtra,Kamthi,2014,4,22.1,0.6,1600
Maharashtra,Karad,2014,4,22.1,4.2,3500
Maharashtra,Karad,2014,4,22.1,4.2,9000
Maharashtra,Barshi,2014,4,22.1,0.3,500
Maharashtra,Nagpur,2014,4,22.1,463.9,2850
Maharashtra,Nagpur,2014,4,22.1,463.9,1150
Maharashtra,Mumbai,2014,4,22.1,"1,912.90",7200
Maharashtra,Shrirampur,2014,5,72.9,1.1,4250
Maharashtra,Mumbai,2014,5,72.9,"1,825.80",9500
Maharashtra,Shrirampur,2014,5,72.9,1.2,4750
Maharashtra,Mumbai,2014,5,72.9,"1,468.00",10000
Maharashtra,Nagpur,2014,5,72.9,522.8,2150
Maharashtra,Nagpur,2014,5,72.9,522.8,1400
Maharashtra,Mumbai,2014,5,72.9,"1,518.90",9500
Maharashtra,Nagpur,2014,5,72.9,300,1200
Maharashtra,Jalgaon,2014,5,72.9,5,3200
Maharashtra,Nagpur,2014,5,72.9,300,2500
Maharashtra,Shrirampur,2014,5,72.9,1.2,3750
Maharashtra,Shrirampur,2014,5,72.9,0.9,3750
Maharashtra,Nagpur,2014,5,72.9,200,1150
Maharashtra,Mumbai,2014,5,72.9,503.9,8250
Maharashtra,Jalgaon,2014,5,72.9,4,3200
Maharashtra,Nagpur,2014,5,72.9,200,2250
Maharashtra,Jalgaon,2014,5,72.9,3.5,4000
Maharashtra,Mumbai,2014,5,72.9,"1,881.70",10250
Maharashtra,Nagpur,2014,5,72.9,"1,064.30",1000
