State,Market,Year,Month,Rainfall(mm),Arrivals (Tonnes),Modal Price(Rs./Quintal),Reported Date
Maharashtra,Nagpur,,,,7.4,500,01-Jan-14
Maharashtra,Karad,,,,3,1250,01-Jan-14
Maharashtra,Jalgaon,,,,0.7,550,01-Jan-14
Maharashtra,Pandharpur,,,,4,1301,02-Jan-14
Maharashtra,Jalgaon,,,,0.7,600,02-Jan-14
Maharashtra,Nagpur,,,,10.9,500,02-Jan-14
Maharashtra,Nagpur,,,,12.4,500,03-Jan-14
Maharashtra,Solapur,,,,6,1000,03-Jan-14
Maharashtra,Nagpur,,,,7.1,500,04-Jan-14
Maharashtra,Solapur,,,,5.1,1000,04-Jan-14
Maharashtra,Pandharpur,,,,5,1240,04-Jan-14
Maharashtra,Anajngaon,,,,15,800,06-Jan-14
Maharashtra,Pandharpur,,,,8,1260,06-Jan-14
Maharashtra,Jalgaon,,,,0.6,700,06-Jan-14
Maharashtra,Nagpur,,,,9.1,500,06-Jan-14
Maharashtra,Jalgaon,,,,0.4,800,07-Jan-14
Maharashtra,Nagpur,,,,12.5,500,07-Jan-14
Maharashtra,Pandharpur,,,,10,1225,07-Jan-14
Maharashtra,Nagpur,,,,5.9,500,08-Jan-14
Maharashtra,Karad,,,,2.1,1150,08-Jan-14
Maharashtra,Solapur,,,,10.7,1000,08-Jan-14
Maharashtra,Nagpur,,,,9.6,500,09-Jan-14
Maharashtra,Pandharpur,,,,5,1286,09-Jan-14
Maharashtra,Solapur,,,,14.5,800,10-Jan-14
Maharashtra,Jalgaon,,,,0.8,600,11-Jan-14
Maharashtra,Pandharpur,,,,5,1260,11-Jan-14
Maharashtra,Solapur,,,,3.6,1000,11-Jan-14
Maharashtra,Karad,,,,5.1,1600,11-Jan-14
Maharashtra,Baramati,,,,13.5,1201,12-Jan-14
Maharashtra,Anajngaon,,,,16.5,950,13-Jan-14
Maharashtra,Jalgaon,,,,0.7,550,13-Jan-14
Maharashtra,Pandharpur,,,,6,1340,13-Jan-14
Maharashtra,Nagpur,,,,10.5,500,13-Jan-14
Maharashtra,Jalgaon,,,,0.5,700,15-Jan-14
Maharashtra,Nagpur,,,,8.7,500,15-Jan-14
Maharashtra,Ulhasnagar,,,,"2,400.00",3200,15-Jan-14
Maharashtra,Pandharpur,,,,8,1425,15-Jan-14
Maharashtra,Karad,,,,3,1600,15-Jan-14
Maharashtra,Solapur,,,,3.2,700,15-Jan-14
Maharashtra,Jalgaon,,,,0.5,650,16-Jan-14
Maharashtra,Pandharpur,,,,5,1300,16-Jan-14
Maharashtra,Nagpur,,,,5.2,500,16-Jan-14
Maharashtra,Jalgaon,,,,0.8,700,17-Jan-14
Maharashtra,Nagpur,,,,8.2,500,17-Jan-14
Maharashtra,Jalgaon,,,,1,600,18-Jan-14
Maharashtra,Pandharpur,,,,5,1271,18-Jan-14
Maharashtra,Kalyan,,,,0.3,925,18-Jan-14
Maharashtra,Nagpur,,,,4.8,500,18-Jan-14
Maharashtra,Anajngaon,,,,18,900,20-Jan-14
Maharashtra,Nagpur,,,,8,500,20-Jan-14
Maharashtra,Karad,,,,2.1,1200,20-Jan-14
Maharashtra,Solapur,,,,0.8,900,20-Jan-14
Maharashtra,Pandharpur,,,,50,1251,20-Jan-14
Maharashtra,Pandharpur,,,,6,1251,21-Jan-14
Maharashtra,Karad,,,,3,1200,21-Jan-14
Maharashtra,Nagpur,,,,13.1,500,21-Jan-14
Maharashtra,Jalgaon,,,,1.2,600,21-Jan-14
Maharashtra,Nagpur,,,,13,500,22-Jan-14
Maharashtra,Karad,,,,2.1,1300,22-Jan-14
Maharashtra,Jalgaon,,,,0.7,600,22-Jan-14
Maharashtra,Pandharpur,,,,11,1226,22-Jan-14
Maharashtra,Jalgaon,,,,0.5,600,23-Jan-14
Maharashtra,Nagpur,,,,8.7,500,23-Jan-14
Maharashtra,Karad,,,,5.1,1200,23-Jan-14
Maharashtra,Pandharpur,,,,5,1201,23-Jan-14
Maharashtra,Pandharpur,,,,12,1030,24-Jan-14
Maharashtra,Nagpur,,,,11.2,500,25-Jan-14
Maharashtra,Pandharpur,,,,5,1100,25-Jan-14
Maharashtra,Jalgaon,,,,1.2,650,25-Jan-14
Maharashtra,Solapur,,,,1.7,900,25-Jan-14
Maharashtra,Karad,,,,4.2,1200,25-Jan-14
Maharashtra,Anajngaon,,,,21,900,27-Jan-14
Maharashtra,Nagpur,,,,7.9,500,27-Jan-14
Maharashtra,Karad,,,,3,1150,27-Jan-14
Maharashtra,Pandharpur,,,,4,1200,27-Jan-14
Maharashtra,Jalgaon,,,,0.7,600,28-Jan-14
Maharashtra,Nagpur,,,,13,500,28-Jan-14
Maharashtra,Karad,,,,2.1,1200,28-Jan-14
Maharashtra,Pandharpur,,,,4,1321,28-Jan-14
Maharashtra,Nagpur,,,,5.8,500,29-Jan-14
Maharashtra,Karad,,,,3,1200,29-Jan-14
Maharashtra,Nagpur,,,,3.7,500,30-Jan-14
Maharashtra,Pandharpur,,,,8,1280,30-Jan-14
Maharashtra,Nagpur,,,,9,500,31-Jan-14
Maharashtra,Nagpur,,,,5.5,500,01-Feb-14
Maharashtra,Akluj,,,,32.4,1200,01-Feb-14
Maharashtra,Pandharpur,,,,10,1300,01-Feb-14
Maharashtra,Baramati,,,,6,1200,02-Feb-14
Maharashtra,Anajngaon,,,,15,900,03-Feb-14
Maharashtra,Nagpur,,,,4.8,500,03-Feb-14
Maharashtra,Jalgaon,,,,0.7,700,03-Feb-14
Maharashtra,Pandharpur,,,,10,1370,03-Feb-14
Maharashtra,Solapur,,,,3,1000,03-Feb-14
Maharashtra,Solapur,,,,3.3,1000,04-Feb-14
Maharashtra,Nagpur,,,,8.5,500,04-Feb-14
Maharashtra,Pandharpur,,,,25,1460,04-Feb-14
Maharashtra,Jalgaon,,,,0.5,600,04-Feb-14
Maharashtra,Pandharpur,,,,10,1441,05-Feb-14
Maharashtra,Nagpur,,,,6.2,500,05-Feb-14
Maharashtra,Akluj,,,,40.5,1250,05-Feb-14
Maharashtra,Pandharpur,,,,10,1300,06-Feb-14
Maharashtra,Nagpur,,,,5.8,500,06-Feb-14
Maharashtra,Karad,,,,3,1250,06-Feb-14
Maharashtra,Jalgaon,,,,1,750,06-Feb-14
Maharashtra,Nagpur,,,,2.6,500,07-Feb-14
Maharashtra,Pandharpur,,,,30,1300,07-Feb-14
Maharashtra,Pandharpur,,,,3,1300,08-Feb-14
Maharashtra,Jalgaon,,,,0.7,700,08-Feb-14
Maharashtra,Nagpur,,,,8.2,500,08-Feb-14
Maharashtra,Anajngaon,,,,12,875,10-Feb-14
Maharashtra,Jalgaon,,,,1,600,10-Feb-14
Maharashtra,Nagpur,,,,3.2,500,10-Feb-14
Maharashtra,Pandharpur,,,,4.5,1210,10-Feb-14
Maharashtra,Karad,,,,2.1,1100,10-Feb-14
Maharashtra,Solapur,,,,3,700,10-Feb-14
Maharashtra,Nagpur,,,,11.4,500,11-Feb-14
Maharashtra,Pandharpur,,,,4.5,1460,11-Feb-14
Maharashtra,Jalgaon,,,,0.8,700,11-Feb-14
Maharashtra,Karad,,,,3,1200,11-Feb-14
Maharashtra,Jalgaon,,,,0.5,700,12-Feb-14
Maharashtra,Nagpur,,,,1.6,500,12-Feb-14
Maharashtra,Solapur,,,,4.3,1000,12-Feb-14
Maharashtra,Pandharpur,,,,10,1390,12-Feb-14
Maharashtra,Pandharpur,,,,15,1414,13-Feb-14
Maharashtra,Nagpur,,,,34.6,500,13-Feb-14
Maharashtra,Nagpur,,,,34.6,500,14-Feb-14
Maharashtra,Pandharpur,,,,30,1370,14-Feb-14
Maharashtra,Solapur,,,,17,1000,15-Feb-14
Maharashtra,Nagpur,,,,5.6,500,15-Feb-14
Maharashtra,Anajngaon,,,,10.5,800,17-Feb-14
Maharashtra,Nagpur,,,,5.6,500,17-Feb-14
Maharashtra,Pandharpur,,,,5,1351,17-Feb-14
Maharashtra,Nagpur,,,,9.3,500,18-Feb-14
Maharashtra,Pandharpur,,,,6,1386,18-Feb-14
Maharashtra,Karad,,,,3,1200,18-Feb-14
Maharashtra,Solapur,,,,8,800,18-Feb-14
Maharashtra,Nagpur,,,,6.1,500,19-Feb-14
Maharashtra,Karad,,,,5.1,1250,20-Feb-14
