State,Market,Year,Month,Rainfall(mm),Arrivals (Tonnes),Modal Price(Rs./Quintal)
Maharashtra,Nagpur,2014,1,19.3,7.4,500
Maharashtra,Karad,2014,1,19.3,3,1250
Maharashtra,Jalgaon,2014,1,19.3,0.7,550
Maharashtra,Pandharpur,2014,1,19.3,4,1301
Maharashtra,Jalgaon,2014,1,19.3,0.7,600
Maharashtra,Nagpur,2014,1,19.3,10.9,500
Maharashtra,Nagpur,2014,1,19.3,12.4,500
Maharashtra,Solapur,2014,1,19.3,6,1000
Maharashtra,Nagpur,2014,1,19.3,7.1,500
Maharashtra,Solapur,2014,1,19.3,5.1,1000
Maharashtra,Pandharpur,2014,1,19.3,5,1240
Maharashtra,Anajngaon,2014,1,19.3,15,800
Maharashtra,Pandharpur,2014,1,19.3,8,1260
Maharashtra,Jalgaon,2014,1,19.3,0.6,700
Maharashtra,Nagpur,2014,1,19.3,9.1,500
Maharashtra,Jalgaon,2014,1,19.3,0.4,800
Maharashtra,Nagpur,2014,1,19.3,12.5,500
Maharashtra,Pandharpur,2014,1,19.3,10,1225
Maharashtra,Nagpur,2014,1,19.3,5.9,500
Maharashtra,Karad,2014,1,19.3,2.1,1150
Maharashtra,Solapur,2014,1,19.3,10.7,1000
Maharashtra,Nagpur,2014,1,19.3,9.6,500
Maharashtra,Pandharpur,2014,1,19.3,5,1286
Maharashtra,Solapur,2014,1,19.3,14.5,800
Maharashtra,Jalgaon,2014,1,19.3,0.8,600
Maharashtra,Pandharpur,2014,1,19.3,5,1260
Maharashtra,Solapur,2014,1,19.3,3.6,1000
Maharashtra,Karad,2014,1,19.3,5.1,1600
Maharashtra,Baramati,2014,1,19.3,13.5,1201
Maharashtra,Anajngaon,2014,1,19.3,16.5,950
Maharashtra,Jalgaon,2014,1,19.3,0.7,550
Maharashtra,Pandharpur,2014,1,19.3,6,1340
Maharashtra,Nagpur,2014,1,19.3,10.5,500
Maharashtra,Jalgaon,2014,1,19.3,0.5,700
Maharashtra,Nagpur,2014,1,19.3,8.7,500
Maharashtra,Ulhasnagar,2014,1,19.3,"2,400.00",3200
Maharashtra,Pandharpur,2014,1,19.3,8,1425
Maharashtra,Karad,2014,1,19.3,3,1600
Maharashtra,Solapur,2014,1,19.3,3.2,700
Maharashtra,Jalgaon,2014,1,19.3,0.5,650
Maharashtra,Pandharpur,2014,1,19.3,5,1300
Maharashtra,Nagpur,2014,1,19.3,5.2,500
Maharashtra,Jalgaon,2014,1,19.3,0.8,700
Maharashtra,Nagpur,2014,1,19.3,8.2,500
Maharashtra,Jalgaon,2014,1,19.3,1,600
Maharashtra,Pandharpur,2014,1,19.3,5,1271
Maharashtra,Kalyan,2014,1,19.3,0.3,925
Maharashtra,Nagpur,2014,1,19.3,4.8,500
Maharashtra,Anajngaon,2014,1,19.3,18,900
Maharashtra,Nagpur,2014,1,19.3,8,500
Maharashtra,Karad,2014,1,19.3,2.1,1200
Maharashtra,Solapur,2014,1,19.3,0.8,900
Maharashtra,Pandharpur,2014,1,19.3,50,1251
Maharashtra,Pandharpur,2014,1,19.3,6,1251
Maharashtra,Karad,2014,1,19.3,3,1200
Maharashtra,Nagpur,2014,1,19.3,13.1,500
Maharashtra,Jalgaon,2014,1,19.3,1.2,600
Maharashtra,Nagpur,2014,1,19.3,13,500
Maharashtra,Karad,2014,1,19.3,2.1,1300
Maharashtra,Jalgaon,2014,1,19.3,0.7,600
Maharashtra,Pandharpur,2014,1,19.3,11,1226
Maharashtra,Jalgaon,2014,1,19.3,0.5,600
Maharashtra,Nagpur,2014,1,19.3,8.7,500
Maharashtra,Karad,2014,1,19.3,5.1,1200
Maharashtra,Pandharpur,2014,1,19.3,5,1201
Maharashtra,Pandharpur,2014,1,19.3,12,1030
Maharashtra,Nagpur,2014,1,19.3,11.2,500
Maharashtra,Pandharpur,2014,1,19.3,5,1100
Maharashtra,Jalgaon,2014,1,19.3,1.2,650
Maharashtra,Solapur,2014,1,19.3,1.7,900
Maharashtra,Karad,2014,1,19.3,4.2,1200
Maharashtra,Anajngaon,2014,1,19.3,21,900
Maharashtra,Nagpur,2014,1,19.3,7.9,500
Maharashtra,Karad,2014,1,19.3,3,1150
Maharashtra,Pandharpur,2014,1,19.3,4,1200
Maharashtra,Jalgaon,2014,1,19.3,0.7,600
Maharashtra,Nagpur,2014,1,19.3,13,500
Maharashtra,Karad,2014,1,19.3,2.1,1200
Maharashtra,Pandharpur,2014,1,19.3,4,1321
Maharashtra,Nagpur,2014,1,19.3,5.8,500
Maharashtra,Karad,2014,1,19.3,3,1200
Maharashtra,Nagpur,2014,1,19.3,3.7,500
Maharashtra,Pandharpur,2014,1,19.3,8,1280
Maharashtra,Nagpur,2014,1,19.3,9,500
Maharashtra,Nagpur,2014,2,27.4,5.5,500
Maharashtra,Akluj,2014,2,27.4,32.4,1200
Maharashtra,Pandharpur,2014,2,27.4,10,1300
Maharashtra,Baramati,2014,2,27.4,6,1200
Maharashtra,Anajngaon,2014,2,27.4,15,900
Maharashtra,Nagpur,2014,2,27.4,4.8,500
Maharashtra,Jalgaon,2014,2,27.4,0.7,700
Maharashtra,Pandharpur,2014,2,27.4,10,1370
Maharashtra,Solapur,2014,2,27.4,3,1000
Maharashtra,Solapur,2014,2,27.4,3.3,1000
Maharashtra,Nagpur,2014,2,27.4,8.5,500
Maharashtra,Pandharpur,2014,2,27.4,25,1460
Maharashtra,Jalgaon,2014,2,27.4,0.5,600
Maharashtra,Pandharpur,2014,2,27.4,10,1441
Maharashtra,Nagpur,2014,2,27.4,6.2,500
Maharashtra,Akluj,2014,2,27.4,40.5,1250
Maharashtra,Pandharpur,2014,2,27.4,10,1300
Maharashtra,Nagpur,2014,2,27.4,5.8,500
Maharashtra,Karad,2014,2,27.4,3,1250
Maharashtra,Jalgaon,2014,2,27.4,1,750
Maharashtra,Nagpur,2014,2,27.4,2.6,500
Maharashtra,Pandharpur,2014,2,27.4,30,1300
Maharashtra,Pandharpur,2014,2,27.4,3,1300
Maharashtra,Jalgaon,2014,2,27.4,0.7,700
Maharashtra,Nagpur,2014,2,27.4,8.2,500
Maharashtra,Anajngaon,2014,2,27.4,12,875
Maharashtra,Jalgaon,2014,2,27.4,1,600
Maharashtra,Nagpur,2014,2,27.4,3.2,500
Maharashtra,Pandharpur,2014,2,27.4,4.5,1210
Maharashtra,Karad,2014,2,27.4,2.1,1100
Maharashtra,Solapur,2014,2,27.4,3,700
Maharashtra,Nagpur,2014,2,27.4,11.4,500
Maharashtra,Pandharpur,2014,2,27.4,4.5,1460
Maharashtra,Jalgaon,2014,2,27.4,0.8,700
Maharashtra,Karad,2014,2,27.4,3,1200
Maharashtra,Jalgaon,2014,2,27.4,0.5,700
Maharashtra,Nagpur,2014,2,27.4,1.6,500
Maharashtra,Solapur,2014,2,27.4,4.3,1000
Maharashtra,Pandharpur,2014,2,27.4,10,1390
Maharashtra,Pandharpur,2014,2,27.4,15,1414
Maharashtra,Nagpur,2014,2,27.4,34.6,500
Maharashtra,Nagpur,2014,2,27.4,34.6,500
Maharashtra,Pandharpur,2014,2,27.4,30,1370
Maharashtra,Solapur,2014,2,27.4,17,1000
Maharashtra,Nagpur,2014,2,27.4,5.6,500
Maharashtra,Anajngaon,2014,2,27.4,10.5,800
Maharashtra,Nagpur,2014,2,27.4,5.6,500
Maharashtra,Pandharpur,2014,2,27.4,5,1351
Maharashtra,Nagpur,2014,2,27.4,9.3,500
Maharashtra,Pandharpur,2014,2,27.4,6,1386
Maharashtra,Karad,2014,2,27.4,3,1200
Maharashtra,Solapur,2014,2,27.4,8,800
Maharashtra,Nagpur,2014,2,27.4,6.1,500
Maharashtra,Karad,2014,2,27.4,5.1,1250
Maharashtra,Solapur,2014,2,27.4,18,1300
Maharashtra,Pandharpur,2014,2,27.4,10,1470
Maharashtra,Nagpur,2014,2,27.4,5.8,500
Maharashtra,Pandharpur,2014,2,27.4,20,1370
Maharashtra,Jalgaon,2014,2,27.4,1.3,800
Maharashtra,Solapur,2014,2,27.4,9.3,1000
Maharashtra,Nagpur,2014,2,27.4,7.7,500
Maharashtra,Solapur,2014,2,27.4,3.9,1000
Maharashtra,Anajngaon,2014,2,27.4,12,800
Maharashtra,Nagpur,2014,2,27.4,8.1,500
Maharashtra,Karad,2014,2,27.4,0.9,1450
Maharashtra,Solapur,2014,2,27.4,5.5,1250
Maharashtra,Nagpur,2014,2,27.4,11,500
Maharashtra,Jalgaon,2014,2,27.4,0.5,300
Maharashtra,Solapur,2014,2,27.4,4,1000
Maharashtra,Nagpur,2014,2,27.4,20.6,500
Maharashtra,Jalgaon,2014,2,27.4,0.7,700
Maharashtra,Solapur,2014,2,27.4,4.1,1200
Maharashtra,Akluj,2014,3,36.1,22.4,1200
Maharashtra,Nagpur,2014,3,36.1,6.5,500
Maharashtra,Solapur,2014,3,36.1,2.8,1200
Maharashtra,Anajngaon,2014,3,36.1,12,1000
Maharashtra,Solapur,2014,3,36.1,6.1,1000
Maharashtra,Nagpur,2014,3,36.1,4.6,500
Maharashtra,Jalgaon,2014,3,36.1,1.7,900
Maharashtra,Nagpur,2014,3,36.1,3.6,500
Maharashtra,Solapur,2014,3,36.1,3.2,1200
Maharashtra,Akluj,2014,3,36.1,40.7,1200
Maharashtra,Nagpur,2014,3,36.1,5.3,500
Maharashtra,Solapur,2014,3,36.1,5.8,1300
Maharashtra,Jalgaon,2014,3,36.1,1.5,900
Maharashtra,Nagpur,2014,3,36.1,7.3,500
Maharashtra,Nagpur,2014,3,36.1,6,500
Maharashtra,Solapur,2014,3,36.1,3,1200
Maharashtra,Akluj,2014,3,36.1,35,1200
Maharashtra,Anajngaon,2014,3,36.1,9,1000
Maharashtra,Nagpur,2014,3,36.1,5.5,500
Maharashtra,Karad,2014,3,36.1,2.1,1250
Maharashtra,Nagpur,2014,3,36.1,7.9,500
Maharashtra,Solapur,2014,3,36.1,5.9,1200
Maharashtra,Karad,2014,3,36.1,3,1250
Maharashtra,Akluj,2014,3,36.1,38,1100
Maharashtra,Solapur,2014,3,36.1,1.1,900
Maharashtra,Nagpur,2014,3,36.1,5.2,500
Maharashtra,Nagpur,2014,3,36.1,6.2,500
Maharashtra,Jalgaon,2014,3,36.1,2.6,700
Maharashtra,Akluj,2014,3,36.1,40.5,850
Maharashtra,Nagpur,2014,3,36.1,11.2,500
Maharashtra,Karad,2014,3,36.1,4.5,1450
Maharashtra,Solapur,2014,3,36.1,3,1200
Maharashtra,Anajngaon,2014,3,36.1,6,1000
Maharashtra,Jalgaon,2014,3,36.1,1.3,600
Maharashtra,Solapur,2014,3,36.1,3.5,1200
Maharashtra,Karad,2014,3,36.1,3,1450
Maharashtra,Akluj,2014,3,36.1,27,1000
Maharashtra,Jalgaon,2014,3,36.1,1,550
Maharashtra,Nagpur,2014,3,36.1,5.6,500
Maharashtra,Nagpur,2014,3,36.1,9.3,500
Maharashtra,Nagpur,2014,3,36.1,11.3,500
Maharashtra,Karad,2014,3,36.1,3,1200
Maharashtra,Solapur,2014,3,36.1,5.5,1200
Maharashtra,Akluj,2014,3,36.1,35.8,1000
Maharashtra,Anajngaon,2014,3,36.1,6,1000
Maharashtra,Solapur,2014,3,36.1,4.9,1200
Maharashtra,Nagpur,2014,3,36.1,5.8,500
Maharashtra,Karad,2014,3,36.1,2.1,1200
Maharashtra,Nagpur,2014,3,36.1,8.3,500
Maharashtra,Jalgaon,2014,3,36.1,0.5,500
Maharashtra,Nagpur,2014,3,36.1,11.1,500
Maharashtra,Solapur,2014,3,36.1,3,1200
Maharashtra,Akluj,2014,3,36.1,36,900
Maharashtra,Jalgaon,2014,3,36.1,0.7,750
Maharashtra,Nagpur,2014,3,36.1,5.5,500
Maharashtra,Nagpur,2014,3,36.1,7.1,500
Maharashtra,Nagpur,2014,3,36.1,12.7,500
Maharashtra,Jalgaon,2014,3,36.1,1.8,600
Maharashtra,Solapur,2014,3,36.1,7,1000
Maharashtra,Jalgaon,2014,3,36.1,1.4,750
Maharashtra,Nagpur,2014,4,22.1,11.7,500
Maharashtra,Solapur,2014,4,22.1,13,1000
Maharashtra,Jalgaon,2014,4,22.1,1.2,700
Maharashtra,Pandharpur,2014,4,22.1,7,1100
Maharashtra,Solapur,2014,4,22.1,4.5,800
Maharashtra,Nagpur,2014,4,22.1,2.2,500
Maharashtra,Nagpur,2014,4,22.1,5.3,500
Maharashtra,Pandharpur,2014,4,22.1,4,1000
Maharashtra,Jalgaon,2014,4,22.1,0.5,700
Maharashtra,Solapur,2014,4,22.1,2.5,800
Maharashtra,Nagpur,2014,4,22.1,8.2,500
Maharashtra,Pandharpur,2014,4,22.1,30,1100
Maharashtra,Solapur,2014,4,22.1,5.2,1000
Maharashtra,Jalgaon,2014,4,22.1,1,600
Maharashtra,Karad,2014,4,22.1,4.5,1500
Maharashtra,Nagpur,2014,4,22.1,10.3,500
